"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"97",97,"bugzilla","Fold-21","Rep-1","Ridor","R-non-EA",0.606009827032861,0.516396354513267,0.160583941605839
"98",98,"bugzilla","Fold-21","Rep-1","Ridor","R-ad",0.606009827032861,0.749920700029862,0.474452554744526
"99",99,"bugzilla","Fold-21","Rep-1","Ridor","R-ee",0.606009827032861,0.749920700029862,0.474452554744526
"100",100,"bugzilla","Fold-21","Rep-1","Ridor","R-dd",0.606009827032861,0.748638091782062,0.474452554744526
"101",101,"bugzilla","Fold-21","Rep-1","IBk","R-non-EA",0.721278650345082,0.577390925976668,0.204379562043796
"102",102,"bugzilla","Fold-21","Rep-1","IBk","R-ad",0.721278650345082,0.742824979223766,0.357664233576642
"103",103,"bugzilla","Fold-21","Rep-1","IBk","R-ee",0.721278650345082,0.801750830091311,0.496350364963504
"104",104,"bugzilla","Fold-21","Rep-1","IBk","R-dd",0.721278650345082,0.623159698601315,0.386861313868613
"105",105,"bugzilla","Fold-21","Rep-1","NS.UP","R-unsup",0.440072140645858,0.236737762874123,0
"106",106,"bugzilla","Fold-21","Rep-1","ND.UP","R-unsup",0.432105427589537,0.25663025808567,0
"107",107,"bugzilla","Fold-21","Rep-1","NF.UP","R-unsup",0.357508023516714,0.385042788741082,0
"108",108,"bugzilla","Fold-21","Rep-1","Entropy.UP","R-unsup",0.383737112670056,0.407136750444261,0
"109",109,"bugzilla","Fold-21","Rep-1","LT.UP","R-unsup",0.554119685307734,0.587539736491194,0.240875912408759
"110",110,"bugzilla","Fold-21","Rep-1","FIX.UP","R-unsup",0.456488397852822,0.072101891527378,0.0802919708029197
"111",111,"bugzilla","Fold-21","Rep-1","NDEV.UP","R-unsup",0.521372376381039,0.601245026623533,0.255474452554745
"112",112,"bugzilla","Fold-21","Rep-1","AGE.UP","R-unsup",0.544761282626601,0.638030370419303,0.277372262773723
"113",113,"bugzilla","Fold-21","Rep-1","NUC.UP","R-unsup",0.377105285580391,0.376405870702505,0.0145985401459854
"114",114,"bugzilla","Fold-21","Rep-1","EXP.UP","R-unsup",0.499588173478372,0.580200942438532,0.291970802919708
"115",115,"bugzilla","Fold-21","Rep-1","REXP.UP","R-unsup",0.506646028004203,0.582721336495995,0.27007299270073
"116",116,"bugzilla","Fold-21","Rep-1","SEXP.UP","R-unsup",0.511602147178278,0.588518933042683,0.299270072992701
"117",117,"bugzilla","Fold-31","Rep-1","EALR","EALR",0.563762165450122,0.557099687400665,0.233333333333333
"119",119,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-non-EA",0.648509732360097,0.471170001105837,0.116666666666667
"120",120,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-ad",0.648509732360097,0.602745437115886,0.2
"121",121,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-ee",0.648509732360097,0.686746481849409,0.4
"122",122,"bugzilla","Fold-31","Rep-1","NaiveBayes","R-dd",0.648509732360097,0.468681961726035,0.233333333333333
"123",123,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-non-EA",0.65985401459854,0.508165194802099,0.141666666666667
"124",124,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-ad",0.65985401459854,0.74708098729223,0.433333333333333
"125",125,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-ee",0.65985401459854,0.754824804233351,0.466666666666667
"126",126,"bugzilla","Fold-31","Rep-1","SimpleLogistic","R-dd",0.65985401459854,0.644758755991342,0.408333333333333
"127",127,"bugzilla","Fold-31","Rep-1","LMT","R-non-EA",0.65985401459854,0.508165194802099,0.141666666666667
"128",128,"bugzilla","Fold-31","Rep-1","LMT","R-ad",0.65985401459854,0.74708098729223,0.433333333333333
"129",129,"bugzilla","Fold-31","Rep-1","LMT","R-ee",0.65985401459854,0.754824804233351,0.466666666666667
"130",130,"bugzilla","Fold-31","Rep-1","LMT","R-dd",0.65985401459854,0.644758755991342,0.408333333333333
"131",131,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-non-EA",0.55985401459854,0.517521393375032,0.183333333333333
"132",132,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-ad",0.55985401459854,0.740031845425714,0.425
"133",133,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-ee",0.55985401459854,0.748221718609595,0.458333333333333
"134",134,"bugzilla","Fold-31","Rep-1","RBFNetwork","R-dd",0.55985401459854,0.700789920770604,0.425
"135",135,"bugzilla","Fold-31","Rep-1","JRip","R-non-EA",0.668780413625304,0.614626236417877,0.233333333333333
"136",136,"bugzilla","Fold-31","Rep-1","JRip","R-ad",0.668780413625304,0.775535312556569,0.475
"137",137,"bugzilla","Fold-31","Rep-1","JRip","R-ee",0.668780413625304,0.764665448761627,0.466666666666667
"138",138,"bugzilla","Fold-31","Rep-1","JRip","R-dd",0.668780413625304,0.713756610981407,0.475
"139",139,"bugzilla","Fold-31","Rep-1","Logistic","R-non-EA",0.652889294403893,0.493481921460508,0.158333333333333
"140",140,"bugzilla","Fold-31","Rep-1","Logistic","R-ad",0.652889294403893,0.736951503405918,0.416666666666667
"141",141,"bugzilla","Fold-31","Rep-1","Logistic","R-ee",0.652889294403893,0.76381538412828,0.475
