"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"155",155,"bugzilla","Fold-31","Rep-1","Ridor","R-non-EA",0.624574829931973,0.520178916608496,0.25
"156",156,"bugzilla","Fold-31","Rep-1","Ridor","R-ad",0.624574829931973,0.810730821875137,0.672619047619048
"157",157,"bugzilla","Fold-31","Rep-1","Ridor","R-ee",0.624574829931973,0.810732248871418,0.672619047619048
"158",158,"bugzilla","Fold-31","Rep-1","Ridor","R-dd",0.624574829931973,0.810732248871418,0.672619047619048
"159",159,"bugzilla","Fold-31","Rep-1","IBk","R-non-EA",0.76507329122125,0.597959966009657,0.18452380952381
"160",160,"bugzilla","Fold-31","Rep-1","IBk","R-ad",0.76507329122125,0.648812881698699,0.267857142857143
"161",161,"bugzilla","Fold-31","Rep-1","IBk","R-ee",0.76507329122125,0.921998241958238,0.744047619047619
"162",162,"bugzilla","Fold-31","Rep-1","IBk","R-dd",0.76507329122125,0.689235643602647,0.529761904761905
"163",163,"bugzilla","Fold-31","Rep-1","NS.UP","R-unsup",0.417911807580175,0.321797416357878,0
"164",164,"bugzilla","Fold-31","Rep-1","ND.UP","R-unsup",0.415006478781989,0.329659452244064,0
"165",165,"bugzilla","Fold-31","Rep-1","NF.UP","R-unsup",0.648758908325235,0.588699473564754,0.00595238095238095
"166",166,"bugzilla","Fold-31","Rep-1","Entropy.UP","R-unsup",0.367417800453515,0.461013747479036,0.00595238095238095
"167",167,"bugzilla","Fold-31","Rep-1","LT.UP","R-unsup",0.5732203595724,0.682053809148166,0.392857142857143
"168",168,"bugzilla","Fold-31","Rep-1","FIX.UP","R-unsup",0.411139455782313,0.0353792813249391,0
"169",169,"bugzilla","Fold-31","Rep-1","NDEV.UP","R-unsup",0.486242711370262,0.546544100433163,0.255952380952381
"170",170,"bugzilla","Fold-31","Rep-1","AGE.UP","R-unsup",0.525307742144477,0.677446989413789,0.291666666666667
"171",171,"bugzilla","Fold-31","Rep-1","NUC.UP","R-unsup",0.355168853255588,0.581025801084382,0.00595238095238095
"172",172,"bugzilla","Fold-31","Rep-1","EXP.UP","R-unsup",0.533537819889861,0.494199260140533,0.154761904761905
"173",173,"bugzilla","Fold-31","Rep-1","REXP.UP","R-unsup",0.519628684807256,0.514912349213195,0.166666666666667
"174",174,"bugzilla","Fold-31","Rep-1","SEXP.UP","R-unsup",0.560283041788144,0.513422565103024,0.178571428571429
"175",175,"bugzilla","Fold-41","Rep-1","EALR","EALR",0.564180434078393,0.803126455613795,0.476190476190476
"177",177,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-non-EA",0.684118885649498,0.321174415825346,0.125
"178",178,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-ad",0.684118885649498,0.4107048701322,0.279761904761905
"179",179,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-ee",0.684118885649498,0.901122956319502,0.791666666666667
"180",180,"bugzilla","Fold-41","Rep-1","NaiveBayes","R-dd",0.684118885649498,0.476126687522515,0.363095238095238
"181",181,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-non-EA",0.74078798185941,0.648504951012802,0.220238095238095
"182",182,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-ad",0.74078798185941,0.690807618073698,0.214285714285714
"183",183,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-ee",0.74078798185941,0.941877171227145,0.80952380952381
"184",184,"bugzilla","Fold-41","Rep-1","SimpleLogistic","R-dd",0.74078798185941,0.796222924947795,0.672619047619048
"185",185,"bugzilla","Fold-41","Rep-1","LMT","R-non-EA",0.74078798185941,0.648504951012802,0.220238095238095
"186",186,"bugzilla","Fold-41","Rep-1","LMT","R-ad",0.74078798185941,0.690807618073698,0.214285714285714
"187",187,"bugzilla","Fold-41","Rep-1","LMT","R-ee",0.74078798185941,0.941877171227145,0.80952380952381
"188",188,"bugzilla","Fold-41","Rep-1","LMT","R-dd",0.74078798185941,0.796222924947795,0.672619047619048
"189",189,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-non-EA",0.572714204729511,0.309656843000119,0.136904761904762
"190",190,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-ad",0.572714204729511,0.497871769376709,0.398809523809524
"191",191,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-ee",0.572714204729511,0.932388449195155,0.791666666666667
"192",192,"bugzilla","Fold-41","Rep-1","RBFNetwork","R-dd",0.572714204729511,0.453968335153724,0.398809523809524
"193",193,"bugzilla","Fold-41","Rep-1","JRip","R-non-EA",0.72796201814059,0.699412046138419,0.333333333333333
"194",194,"bugzilla","Fold-41","Rep-1","JRip","R-ad",0.72796201814059,0.822754182352115,0.630952380952381
"195",195,"bugzilla","Fold-41","Rep-1","JRip","R-ee",0.72796201814059,0.942279378722334,0.81547619047619
"196",196,"bugzilla","Fold-41","Rep-1","JRip","R-dd",0.72796201814059,0.764457719595074,0.630952380952381
"197",197,"bugzilla","Fold-41","Rep-1","Logistic","R-non-EA",0.758422416585682,0.593390146408428,0.214285714285714
"198",198,"bugzilla","Fold-41","Rep-1","Logistic","R-ad",0.758422416585682,0.643731900962668,0.220238095238095
"199",199,"bugzilla","Fold-41","Rep-1","Logistic","R-ee",0.758422416585682,0.942674835933453,0.803571428571429
"200",200,"bugzilla","Fold-41","Rep-1","Logistic","R-dd",0.758422416585682,0.758349603101674,0.636904761904762
"201",201,"bugzilla","Fold-41","Rep-1","RandomForest","R-non-EA",0.792527129899579,0.713942331370343,0.255952380952381
"202",202,"bugzilla","Fold-41","Rep-1","RandomForest","R-ad",0.792527129899579,0.730495092367713,0.297619047619048
"203",203,"bugzilla","Fold-41","Rep-1","RandomForest","R-ee",0.792527129899579,0.950859805524393,0.833333333333333
"204",204,"bugzilla","Fold-41","Rep-1","RandomForest","R-dd",0.792527129899579,0.792457737486986,0.678571428571429
"205",205,"bugzilla","Fold-41","Rep-1","SMO","R-non-EA",0.689200680272109,0.665304849272182,0.321428571428571
"206",206,"bugzilla","Fold-41","Rep-1","SMO","R-ad",0.689200680272109,0.791270240993723,0.660714285714286
"207",207,"bugzilla","Fold-41","Rep-1","SMO","R-ee",0.689200680272109,0.791270240993723,0.660714285714286
"208",208,"bugzilla","Fold-41","Rep-1","SMO","R-dd",0.689200680272109,0.786085420546406,0.660714285714286
"209",209,"bugzilla","Fold-41","Rep-1","J48","R-non-EA",0.758169339164237,0.674799196628029,0.303571428571429
"210",210,"bugzilla","Fold-41","Rep-1","J48","R-ad",0.758169339164237,0.701317703436517,0.303571428571429
"211",211,"bugzilla","Fold-41","Rep-1","J48","R-ee",0.758169339164237,0.928120361772218,0.821428571428571
"212",212,"bugzilla","Fold-41","Rep-1","J48","R-dd",0.758169339164237,0.811897767257336,0.702380952380952
"213",213,"bugzilla","Fold-41","Rep-1","Ridor","R-non-EA",0.630527210884354,0.603435958743826,0.375
"214",214,"bugzilla","Fold-41","Rep-1","Ridor","R-ad",0.630527210884354,0.626811621708657,0.375
"215",215,"bugzilla","Fold-41","Rep-1","Ridor","R-ee",0.630527210884354,0.626811621708657,0.375
"216",216,"bugzilla","Fold-41","Rep-1","Ridor","R-dd",0.630527210884354,0.609459883452163,0.375
"217",217,"bugzilla","Fold-41","Rep-1","IBk","R-non-EA",0.711410754778102,0.670338537156535,0.279761904761905
"218",218,"bugzilla","Fold-41","Rep-1","IBk","R-ad",0.711410754778102,0.70413090583504,0.279761904761905
"219",219,"bugzilla","Fold-41","Rep-1","IBk","R-ee",0.711410754778102,0.941869670837975,0.80952380952381
"220",220,"bugzilla","Fold-41","Rep-1","IBk","R-dd",0.711410754778102,0.650664308463688,0.511904761904762
"221",221,"bugzilla","Fold-41","Rep-1","NS.UP","R-unsup",0.398961370262391,0.375665752073559,0
"222",222,"bugzilla","Fold-41","Rep-1","ND.UP","R-unsup",0.39607628765792,0.374373437726013,0
"223",223,"bugzilla","Fold-41","Rep-1","NF.UP","R-unsup",0.378745545837383,0.723207167174888,0.196428571428571
"224",224,"bugzilla","Fold-41","Rep-1","Entropy.UP","R-unsup",0.403607871720117,0.585267242009313,0.19047619047619
